"id","kata_a","kata_b","jenis","penjelasan","penggunaan_a","penggunaan_b"
204,auto,oto,varian_baku_tidak_baku,'auto' dan 'oto' tervalidasi sebagai pasangan bentuk baku–varian/tidak baku; hubungan ini bukan selalu sinonimi bebas dalam semua konteks.,Contoh penggunaan kata 'auto' dalam kalimat.,Padanan kata 'auto' adalah 'oto'.
205,autologi,otologi,varian_baku_tidak_baku,'autologi' dan 'otologi' tervalidasi sebagai pasangan bentuk baku–varian/tidak baku; hubungan ini bukan selalu sinonimi bebas dalam semua konteks.,Contoh penggunaan kata 'autologi' dalam kalimat.,Padanan kata 'autologi' adalah 'otologi'.
206,automatis,otomatis,varian_baku_tidak_baku,'automatis' dan 'otomatis' tervalidasi sebagai pasangan bentuk baku–varian/tidak baku; hubungan ini bukan selalu sinonimi bebas dalam semua konteks.,Contoh penggunaan kata 'automatis' dalam kalimat.,Padanan kata 'automatis' adalah 'otomatis'.
207,automobil,mobil,sinonim_satu_synset,'automobil' dan 'mobil' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'automobil' dalam kalimat.,Padanan kata 'automobil' adalah 'mobil'.
208,autoskop,otoskop,varian_baku_tidak_baku,'autoskop' dan 'otoskop' tervalidasi sebagai pasangan bentuk baku–varian/tidak baku; hubungan ini bukan selalu sinonimi bebas dalam semua konteks.,Contoh penggunaan kata 'autoskop' dalam kalimat.,Padanan kata 'autoskop' adalah 'otoskop'.
209,avertebrata,invertebrata,sinonim_satu_synset,'avertebrata' dan 'invertebrata' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'avertebrata' dalam kalimat.,Padanan kata 'avertebrata' adalah 'invertebrata'.
210,awam,umum,sinonim_satu_synset,'awam' dan 'umum' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'awam' dalam kalimat.,Padanan kata 'awam' adalah 'umum'.
211,awam,am,sinonim_satu_synset,'awam' dan 'am' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'awam' dalam kalimat.,Padanan kata 'awam' adalah 'am'.
212,awam,biasa,sinonim_satu_synset,'awam' dan 'biasa' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'awam' dalam kalimat.,Padanan kata 'awam' adalah 'biasa'.
213,awan,mega,sinonim_satu_synset,'awan' dan 'mega' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'awan' dalam kalimat.,Padanan kata 'awan' adalah 'mega'.
214,ayak,ayakan,sinonim_satu_synset,'ayak' dan 'ayakan' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'ayak' dalam kalimat.,Padanan kata 'ayak' adalah 'ayakan'.
215,ayanda,ayahanda,varian_baku_tidak_baku,'ayanda' dan 'ayahanda' tervalidasi sebagai pasangan bentuk baku–varian/tidak baku; hubungan ini bukan selalu sinonimi bebas dalam semua konteks.,Contoh penggunaan kata 'ayanda' dalam kalimat.,Padanan kata 'ayanda' adalah 'ayahanda'.
216,ayid,ayit,varian_baku_tidak_baku,'ayid' dan 'ayit' tervalidasi sebagai pasangan bentuk baku–varian/tidak baku; hubungan ini bukan selalu sinonimi bebas dalam semua konteks.,Contoh penggunaan kata 'ayid' dalam kalimat.,Padanan kata 'ayid' adalah 'ayit'.
217,ayuk,ayut,varian_baku_tidak_baku,'ayuk' dan 'ayut' tervalidasi sebagai pasangan bentuk baku–varian/tidak baku; hubungan ini bukan selalu sinonimi bebas dalam semua konteks.,Contoh penggunaan kata 'ayuk' dalam kalimat.,Padanan kata 'ayuk' adalah 'ayut'.
218,ayun,goyang,sinonim_satu_synset,'ayun' dan 'goyang' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'ayun' dalam kalimat.,Padanan kata 'ayun' adalah 'goyang'.
219,ayun,berbuai,sinonim_satu_synset,'ayun' dan 'berbuai' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'ayun' dalam kalimat.,Padanan kata 'ayun' adalah 'berbuai'.
220,ayun,bergoyang,sinonim_satu_synset,'ayun' dan 'bergoyang' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'ayun' dalam kalimat.,Padanan kata 'ayun' adalah 'bergoyang'.
221,azamat,azmat,varian_baku_tidak_baku,'azamat' dan 'azmat' tervalidasi sebagai pasangan bentuk baku–varian/tidak baku; hubungan ini bukan selalu sinonimi bebas dalam semua konteks.,Contoh penggunaan kata 'azamat' dalam kalimat.,Padanan kata 'azamat' adalah 'azmat'.
222,azemat,azmat,varian_baku_tidak_baku,'azemat' dan 'azmat' tervalidasi sebagai pasangan bentuk baku–varian/tidak baku; hubungan ini bukan selalu sinonimi bebas dalam semua konteks.,Contoh penggunaan kata 'azemat' dalam kalimat.,Padanan kata 'azemat' adalah 'azmat'.
223,babad,sejarah,sinonim_satu_synset,'babad' dan 'sejarah' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'babad' dalam kalimat.,Padanan kata 'babad' adalah 'sejarah'.
224,babad,tambo,sinonim_satu_synset,'babad' dan 'tambo' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'babad' dalam kalimat.,Padanan kata 'babad' adalah 'tambo'.
225,babar,bebar,varian_baku_tidak_baku,'babar' dan 'bebar' tervalidasi sebagai pasangan bentuk baku–varian/tidak baku; hubungan ini bukan selalu sinonimi bebas dalam semua konteks.,Contoh penggunaan kata 'babar' dalam kalimat.,Padanan kata 'babar' adalah 'bebar'.
226,bacak,bacek,varian_baku_tidak_baku,'bacak' dan 'bacek' tervalidasi sebagai pasangan bentuk baku–varian/tidak baku; hubungan ini bukan selalu sinonimi bebas dalam semua konteks.,Contoh penggunaan kata 'bacak' dalam kalimat.,Padanan kata 'bacak' adalah 'bacek'.
227,bacul,penakut,sinonim_satu_synset,'bacul' dan 'penakut' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'bacul' dalam kalimat.,Padanan kata 'bacul' adalah 'penakut'.
228,bada,bakda,varian_baku_tidak_baku,'bada' dan 'bakda' tervalidasi sebagai pasangan bentuk baku–varian/tidak baku; hubungan ini bukan selalu sinonimi bebas dalam semua konteks.,Contoh penggunaan kata 'bada' dalam kalimat.,Padanan kata 'bada' adalah 'bakda'.
229,badan,jasmani,sinonim_satu_synset,'badan' dan 'jasmani' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'badan' dalam kalimat.,Padanan kata 'badan' adalah 'jasmani'.
230,bagai,sama,sinonim_satu_synset,'bagai' dan 'sama' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'bagai' dalam kalimat.,Padanan kata 'bagai' adalah 'sama'.
231,bagak,bangga,sinonim_satu_synset,'bagak' dan 'bangga' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'bagak' dalam kalimat.,Padanan kata 'bagak' adalah 'bangga'.
232,basoka,bazoka,varian_baku_tidak_baku,'basoka' dan 'bazoka' tervalidasi sebagai pasangan bentuk baku–varian/tidak baku; hubungan ini bukan selalu sinonimi bebas dalam semua konteks.,Contoh penggunaan kata 'basoka' dalam kalimat.,Padanan kata 'basoka' adalah 'bazoka'.
233,bah,banjir,sinonim_satu_synset,'bah' dan 'banjir' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'bah' dalam kalimat.,Padanan kata 'bah' adalah 'banjir'.
234,baham,geraham,varian_baku_tidak_baku,'baham' dan 'geraham' tervalidasi sebagai pasangan bentuk baku–varian/tidak baku; hubungan ini bukan selalu sinonimi bebas dalam semua konteks.,Contoh penggunaan kata 'baham' dalam kalimat.,Padanan kata 'baham' adalah 'geraham'.
235,baik,elok,sinonim_satu_synset,'baik' dan 'elok' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'baik' dalam kalimat.,Padanan kata 'baik' adalah 'elok'.
236,bain,nyata,sinonim_satu_synset,'bain' dan 'nyata' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'bain' dalam kalimat.,Padanan kata 'bain' adalah 'nyata'.
237,baja,pupuk,sinonim_satu_synset,'baja' dan 'pupuk' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'baja' dalam kalimat.,Padanan kata 'baja' adalah 'pupuk'.
238,bajak,luku,sinonim_satu_synset,'bajak' dan 'luku' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'bajak' dalam kalimat.,Padanan kata 'bajak' adalah 'luku'.
239,bajak,tenggala,sinonim_satu_synset,'bajak' dan 'tenggala' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'bajak' dalam kalimat.,Padanan kata 'bajak' adalah 'tenggala'.
240,baju,kemeja,sinonim_satu_synset,'baju' dan 'kemeja' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'baju' dalam kalimat.,Padanan kata 'baju' adalah 'kemeja'.
241,bajul,pencuri,sinonim_satu_synset,'bajul' dan 'pencuri' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'bajul' dalam kalimat.,Padanan kata 'bajul' adalah 'pencuri'.
242,mendelika,mandalika,varian_baku_tidak_baku,'mendelika' dan 'mandalika' tervalidasi sebagai pasangan bentuk baku–varian/tidak baku; hubungan ini bukan selalu sinonimi bebas dalam semua konteks.,Contoh penggunaan kata 'mendelika' dalam kalimat.,Padanan kata 'mendelika' adalah 'mandalika'.
243,bakh,untung,sinonim_satu_synset,'bakh' dan 'untung' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'bakh' dalam kalimat.,Padanan kata 'bakh' adalah 'untung'.
244,bakh,bahagia,sinonim_satu_synset,'bakh' dan 'bahagia' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'bakh' dalam kalimat.,Padanan kata 'bakh' adalah 'bahagia'.
245,bakhil,kikir,sinonim_satu_synset,'bakhil' dan 'kikir' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'bakhil' dalam kalimat.,Padanan kata 'bakhil' adalah 'kikir'.
246,bakhil,lokek,sinonim_satu_synset,'bakhil' dan 'lokek' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'bakhil' dalam kalimat.,Padanan kata 'bakhil' adalah 'lokek'.
247,bakhil,pelit,sinonim_satu_synset,'bakhil' dan 'pelit' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'bakhil' dalam kalimat.,Padanan kata 'bakhil' adalah 'pelit'.
248,bakhsis,baksis,varian_baku_tidak_baku,'bakhsis' dan 'baksis' tervalidasi sebagai pasangan bentuk baku–varian/tidak baku; hubungan ini bukan selalu sinonimi bebas dalam semua konteks.,Contoh penggunaan kata 'bakhsis' dalam kalimat.,Padanan kata 'bakhsis' adalah 'baksis'.
249,baki,kekal,sinonim_satu_synset,'baki' dan 'kekal' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'baki' dalam kalimat.,Padanan kata 'baki' adalah 'kekal'.
250,baki,abadi,sinonim_satu_synset,'baki' dan 'abadi' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'baki' dalam kalimat.,Padanan kata 'baki' adalah 'abadi'.
251,bakterisid,bakterisida,varian_baku_tidak_baku,'bakterisid' dan 'bakterisida' tervalidasi sebagai pasangan bentuk baku–varian/tidak baku; hubungan ini bukan selalu sinonimi bebas dalam semua konteks.,Contoh penggunaan kata 'bakterisid' dalam kalimat.,Padanan kata 'bakterisid' adalah 'bakterisida'.
252,bala,malapetaka,sinonim_satu_synset,'bala' dan 'malapetaka' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'bala' dalam kalimat.,Padanan kata 'bala' adalah 'malapetaka'.
253,bala,kemalangan,sinonim_satu_synset,'bala' dan 'kemalangan' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'bala' dalam kalimat.,Padanan kata 'bala' adalah 'kemalangan'.
254,bala,kesengsaraan,sinonim_satu_synset,'bala' dan 'kesengsaraan' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'bala' dalam kalimat.,Padanan kata 'bala' adalah 'kesengsaraan'.
255,balah,pertengkaran,sinonim_satu_synset,'balah' dan 'pertengkaran' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'balah' dalam kalimat.,Padanan kata 'balah' adalah 'pertengkaran'.
256,balang,belang,varian_baku_tidak_baku,'balang' dan 'belang' tervalidasi sebagai pasangan bentuk baku–varian/tidak baku; hubungan ini bukan selalu sinonimi bebas dalam semua konteks.,Contoh penggunaan kata 'balang' dalam kalimat.,Padanan kata 'balang' adalah 'belang'.
257,balit,belit,varian_baku_tidak_baku,'balit' dan 'belit' tervalidasi sebagai pasangan bentuk baku–varian/tidak baku; hubungan ini bukan selalu sinonimi bebas dalam semua konteks.,Contoh penggunaan kata 'balit' dalam kalimat.,Padanan kata 'balit' adalah 'belit'.
258,balsem,balsam,sinonim_satu_synset,'balsem' dan 'balsam' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'balsem' dalam kalimat.,Padanan kata 'balsem' adalah 'balsam'.
259,balu,duda,sinonim_satu_synset,'balu' dan 'duda' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'balu' dalam kalimat.,Padanan kata 'balu' adalah 'duda'.
260,baluarti,benteng,sinonim_satu_synset,'baluarti' dan 'benteng' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'baluarti' dalam kalimat.,Padanan kata 'baluarti' adalah 'benteng'.
261,balung,jengger,sinonim_satu_synset,'balung' dan 'jengger' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'balung' dalam kalimat.,Padanan kata 'balung' adalah 'jengger'.
262,banci,sensus,sinonim_satu_synset,'banci' dan 'sensus' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'banci' dalam kalimat.,Padanan kata 'banci' adalah 'sensus'.
263,bambu,buluh,sinonim_satu_synset,'bambu' dan 'buluh' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'bambu' dalam kalimat.,Padanan kata 'bambu' adalah 'buluh'.
264,bambung,bodoh,sinonim_satu_synset,'bambung' dan 'bodoh' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'bambung' dalam kalimat.,Padanan kata 'bambung' adalah 'bodoh'.
265,bambung,pandir,sinonim_satu_synset,'bambung' dan 'pandir' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'bambung' dalam kalimat.,Padanan kata 'bambung' adalah 'pandir'.
266,bancah,bencah,varian_baku_tidak_baku,'bancah' dan 'bencah' tervalidasi sebagai pasangan bentuk baku–varian/tidak baku; hubungan ini bukan selalu sinonimi bebas dalam semua konteks.,Contoh penggunaan kata 'bancah' dalam kalimat.,Padanan kata 'bancah' adalah 'bencah'.
267,banding,membandingkan,sinonim_satu_synset,'banding' dan 'membandingkan' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'banding' dalam kalimat.,Padanan kata 'banding' adalah 'membandingkan'.
268,bandring,bandering,varian_baku_tidak_baku,'bandring' dan 'bandering' tervalidasi sebagai pasangan bentuk baku–varian/tidak baku; hubungan ini bukan selalu sinonimi bebas dalam semua konteks.,Contoh penggunaan kata 'bandring' dalam kalimat.,Padanan kata 'bandring' adalah 'bandering'.
269,bandrol,banderol,varian_baku_tidak_baku,'bandrol' dan 'banderol' tervalidasi sebagai pasangan bentuk baku–varian/tidak baku; hubungan ini bukan selalu sinonimi bebas dalam semua konteks.,Contoh penggunaan kata 'bandrol' dalam kalimat.,Padanan kata 'bandrol' adalah 'banderol'.
270,bangkut,kerdil,sinonim_satu_synset,'bangkut' dan 'kerdil' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'bangkut' dalam kalimat.,Padanan kata 'bangkut' adalah 'kerdil'.
271,baronsai,barongsai,varian_baku_tidak_baku,'baronsai' dan 'barongsai' tervalidasi sebagai pasangan bentuk baku–varian/tidak baku; hubungan ini bukan selalu sinonimi bebas dalam semua konteks.,Contoh penggunaan kata 'baronsai' dalam kalimat.,Padanan kata 'baronsai' adalah 'barongsai'.
272,banglo,bungalo,varian_baku_tidak_baku,'banglo' dan 'bungalo' tervalidasi sebagai pasangan bentuk baku–varian/tidak baku; hubungan ini bukan selalu sinonimi bebas dalam semua konteks.,Contoh penggunaan kata 'banglo' dalam kalimat.,Padanan kata 'banglo' adalah 'bungalo'.
273,bangpak,jelek,sinonim_satu_synset,'bangpak' dan 'jelek' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'bangpak' dalam kalimat.,Padanan kata 'bangpak' adalah 'jelek'.
274,bangpak,jahat,sinonim_satu_synset,'bangpak' dan 'jahat' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'bangpak' dalam kalimat.,Padanan kata 'bangpak' adalah 'jahat'.
275,bangsai,busuk,sinonim_satu_synset,'bangsai' dan 'busuk' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'bangsai' dalam kalimat.,Padanan kata 'bangsai' adalah 'busuk'.
276,bangsawan,ningrat,sinonim_satu_synset,'bangsawan' dan 'ningrat' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'bangsawan' dalam kalimat.,Padanan kata 'bangsawan' adalah 'ningrat'.
277,bangsi,seruling,sinonim_satu_synset,'bangsi' dan 'seruling' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'bangsi' dalam kalimat.,Padanan kata 'bangsi' adalah 'seruling'.
278,mendem,mendam,varian_baku_tidak_baku,'mendem' dan 'mendam' tervalidasi sebagai pasangan bentuk baku–varian/tidak baku; hubungan ini bukan selalu sinonimi bebas dalam semua konteks.,Contoh penggunaan kata 'mendem' dalam kalimat.,Padanan kata 'mendem' adalah 'mendam'.
279,banian,benian,varian_baku_tidak_baku,'banian' dan 'benian' tervalidasi sebagai pasangan bentuk baku–varian/tidak baku; hubungan ini bukan selalu sinonimi bebas dalam semua konteks.,Contoh penggunaan kata 'banian' dalam kalimat.,Padanan kata 'banian' adalah 'benian'.
280,banteras,berantas,varian_baku_tidak_baku,'banteras' dan 'berantas' tervalidasi sebagai pasangan bentuk baku–varian/tidak baku; hubungan ini bukan selalu sinonimi bebas dalam semua konteks.,Contoh penggunaan kata 'banteras' dalam kalimat.,Padanan kata 'banteras' adalah 'berantas'.
281,bansai,banzai,varian_baku_tidak_baku,'bansai' dan 'banzai' tervalidasi sebagai pasangan bentuk baku–varian/tidak baku; hubungan ini bukan selalu sinonimi bebas dalam semua konteks.,Contoh penggunaan kata 'bansai' dalam kalimat.,Padanan kata 'bansai' adalah 'banzai'.
282,bantu,pertolongan,sinonim_satu_synset,'bantu' dan 'pertolongan' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'bantu' dalam kalimat.,Padanan kata 'bantu' adalah 'pertolongan'.
283,banu,bani,varian_baku_tidak_baku,'banu' dan 'bani' tervalidasi sebagai pasangan bentuk baku–varian/tidak baku; hubungan ini bukan selalu sinonimi bebas dalam semua konteks.,Contoh penggunaan kata 'banu' dalam kalimat.,Padanan kata 'banu' adalah 'bani'.
284,banyak,sangat,sinonim_satu_synset,'banyak' dan 'sangat' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'banyak' dalam kalimat.,Padanan kata 'banyak' adalah 'sangat'.
285,banyol,jenaka,sinonim_satu_synset,'banyol' dan 'jenaka' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'banyol' dalam kalimat.,Padanan kata 'banyol' adalah 'jenaka'.
286,banyol,berjenaka,sinonim_satu_synset,'banyol' dan 'berjenaka' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'banyol' dalam kalimat.,Padanan kata 'banyol' adalah 'berjenaka'.
287,banyol,melawak,sinonim_satu_synset,'banyol' dan 'melawak' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'banyol' dalam kalimat.,Padanan kata 'banyol' adalah 'melawak'.
288,bapao,bakpao,varian_baku_tidak_baku,'bapao' dan 'bakpao' tervalidasi sebagai pasangan bentuk baku–varian/tidak baku; hubungan ini bukan selalu sinonimi bebas dalam semua konteks.,Contoh penggunaan kata 'bapao' dalam kalimat.,Padanan kata 'bapao' adalah 'bakpao'.
289,baptis,permandian,sinonim_satu_synset,'baptis' dan 'permandian' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'baptis' dalam kalimat.,Padanan kata 'baptis' adalah 'permandian'.
290,baragajul,bergajul,varian_baku_tidak_baku,'baragajul' dan 'bergajul' tervalidasi sebagai pasangan bentuk baku–varian/tidak baku; hubungan ini bukan selalu sinonimi bebas dalam semua konteks.,Contoh penggunaan kata 'baragajul' dalam kalimat.,Padanan kata 'baragajul' adalah 'bergajul'.
291,barangan,berangan,varian_baku_tidak_baku,'barangan' dan 'berangan' tervalidasi sebagai pasangan bentuk baku–varian/tidak baku; hubungan ini bukan selalu sinonimi bebas dalam semua konteks.,Contoh penggunaan kata 'barangan' dalam kalimat.,Padanan kata 'barangan' adalah 'berangan'.
292,barangkali,mungkin,sinonim_satu_synset,'barangkali' dan 'mungkin' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'barangkali' dalam kalimat.,Padanan kata 'barangkali' adalah 'mungkin'.
293,baras,abras,varian_baku_tidak_baku,'baras' dan 'abras' tervalidasi sebagai pasangan bentuk baku–varian/tidak baku; hubungan ini bukan selalu sinonimi bebas dalam semua konteks.,Contoh penggunaan kata 'baras' dalam kalimat.,Padanan kata 'baras' adalah 'abras'.
294,barbir,barber,varian_baku_tidak_baku,'barbir' dan 'barber' tervalidasi sebagai pasangan bentuk baku–varian/tidak baku; hubungan ini bukan selalu sinonimi bebas dalam semua konteks.,Contoh penggunaan kata 'barbir' dalam kalimat.,Padanan kata 'barbir' adalah 'barber'.
295,barep,barap,varian_baku_tidak_baku,'barep' dan 'barap' tervalidasi sebagai pasangan bentuk baku–varian/tidak baku; hubungan ini bukan selalu sinonimi bebas dalam semua konteks.,Contoh penggunaan kata 'barep' dalam kalimat.,Padanan kata 'barep' adalah 'barap'.
296,bargas,barkas,varian_baku_tidak_baku,'bargas' dan 'barkas' tervalidasi sebagai pasangan bentuk baku–varian/tidak baku; hubungan ini bukan selalu sinonimi bebas dalam semua konteks.,Contoh penggunaan kata 'bargas' dalam kalimat.,Padanan kata 'bargas' adalah 'barkas'.
297,bari,bahari,varian_baku_tidak_baku,'bari' dan 'bahari' tervalidasi sebagai pasangan bentuk baku–varian/tidak baku; hubungan ini bukan selalu sinonimi bebas dalam semua konteks.,Contoh penggunaan kata 'bari' dalam kalimat.,Padanan kata 'bari' adalah 'bahari'.
298,baris,jajaran,sinonim_satu_synset,'baris' dan 'jajaran' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'baris' dalam kalimat.,Padanan kata 'baris' adalah 'jajaran'.
299,barkas,berkas,varian_baku_tidak_baku,'barkas' dan 'berkas' tervalidasi sebagai pasangan bentuk baku–varian/tidak baku; hubungan ini bukan selalu sinonimi bebas dalam semua konteks.,Contoh penggunaan kata 'barkas' dalam kalimat.,Padanan kata 'barkas' adalah 'berkas'.
300,barua,muncikari,sinonim_satu_synset,'barua' dan 'muncikari' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'barua' dalam kalimat.,Padanan kata 'barua' adalah 'muncikari'.
301,basa,bahasa,varian_baku_tidak_baku,'basa' dan 'bahasa' tervalidasi sebagai pasangan bentuk baku–varian/tidak baku; hubungan ini bukan selalu sinonimi bebas dalam semua konteks.,Contoh penggunaan kata 'basa' dalam kalimat.,Padanan kata 'basa' adalah 'bahasa'.
302,basekat,baskat,varian_baku_tidak_baku,'basekat' dan 'baskat' tervalidasi sebagai pasangan bentuk baku–varian/tidak baku; hubungan ini bukan selalu sinonimi bebas dalam semua konteks.,Contoh penggunaan kata 'basekat' dalam kalimat.,Padanan kata 'basekat' adalah 'baskat'.
