id,kata_a,kata_b,jenis_oposisi,bidang,tingkat_keyakinan,penjelasan,penggunaan_a,penggunaan_b,catatan
135,langit,bumi,gradabel/kontekstual,umum,menengah,Pasangan 'langit' dan 'bumi' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'langit' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'bumi' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
136,dunia,akhirat,gradabel/kontekstual,umum,menengah,Pasangan 'dunia' dan 'akhirat' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'dunia' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'akhirat' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
137,jasmani,rohani,gradabel/kontekstual,umum,menengah,Pasangan 'jasmani' dan 'rohani' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'jasmani' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'rohani' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
138,lahir,batin,gradabel/kontekstual,umum,menengah,Pasangan 'lahir' dan 'batin' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'lahir' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'batin' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
139,cinta,benci,gradabel/kontekstual,umum,menengah,Pasangan 'cinta' dan 'benci' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'cinta' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'benci' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
140,suka,duka,gradabel/kontekstual,umum,menengah,Pasangan 'suka' dan 'duka' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'suka' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'duka' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
141,tawa,tangis,gradabel/kontekstual,umum,menengah,Pasangan 'tawa' dan 'tangis' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'tawa' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'tangis' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
142,senyum,cemberut,gradabel/kontekstual,umum,menengah,Pasangan 'senyum' dan 'cemberut' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'senyum' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'cemberut' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
143,bangga,malu,gradabel/kontekstual,umum,menengah,Pasangan 'bangga' dan 'malu' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'bangga' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'malu' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
144,hormat,hina,gradabel/kontekstual,umum,menengah,Pasangan 'hormat' dan 'hina' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'hormat' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'hina' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
145,mulia,nista,gradabel/kontekstual,umum,menengah,Pasangan 'mulia' dan 'nista' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'mulia' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'nista' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
146,indah,jelek,gradabel/kontekstual,umum,menengah,Pasangan 'indah' dan 'jelek' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'indah' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'jelek' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
147,bagus,buruk,gradabel/kontekstual,umum,menengah,Pasangan 'bagus' dan 'buruk' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'bagus' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'buruk' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
148,pintar,tolol,gradabel/kontekstual,umum,menengah,Pasangan 'pintar' dan 'tolol' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'pintar' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'tolol' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
149,cerdas,dungu,gradabel/kontekstual,umum,menengah,Pasangan 'cerdas' dan 'dungu' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'cerdas' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'dungu' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
150,tangkas,lamban,gradabel/kontekstual,umum,menengah,Pasangan 'tangkas' dan 'lamban' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'tangkas' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'lamban' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
151,rajin,lalai,gradabel/kontekstual,umum,menengah,Pasangan 'rajin' dan 'lalai' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'rajin' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'lalai' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
152,teliti,ceroboh,gradabel/kontekstual,umum,menengah,Pasangan 'teliti' dan 'ceroboh' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'teliti' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'ceroboh' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
153,waspada,lengah,gradabel/kontekstual,umum,menengah,Pasangan 'waspada' dan 'lengah' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'waspada' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'lengah' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
154,hati-hati,sembrono,gradabel/kontekstual,umum,menengah,Pasangan 'hati-hati' dan 'sembrono' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'hati-hati' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'sembrono' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
155,sabar,gusar,gradabel/kontekstual,umum,menengah,Pasangan 'sabar' dan 'gusar' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'sabar' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'gusar' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
156,tenang,gelisah,gradabel/kontekstual,hukum,menengah,Pasangan 'tenang' dan 'gelisah' memiliki hubungan pertentangan makna dalam konteks hukum.,Contoh: penggunaan kata 'tenang' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'gelisah' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
157,damai,perang,gradabel/kontekstual,umum,menengah,Pasangan 'damai' dan 'perang' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'damai' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'perang' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
158,rukun,tengkar,gradabel/kontekstual,umum,menengah,Pasangan 'rukun' dan 'tengkar' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'rukun' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'tengkar' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
159,bersatu,cerai,gradabel/kontekstual,umum,menengah,Pasangan 'bersatu' dan 'cerai' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'bersatu' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'cerai' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
160,kokoh,rapuh,gradabel/kontekstual,umum,menengah,Pasangan 'kokoh' dan 'rapuh' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'kokoh' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'rapuh' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
161,kuat,goyah,gradabel/kontekstual,umum,menengah,Pasangan 'kuat' dan 'goyah' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'kuat' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'goyah' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
162,tegar,lemah,gradabel/kontekstual,umum,menengah,Pasangan 'tegar' dan 'lemah' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'tegar' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'lemah' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
163,berani,kecut,gradabel/kontekstual,umum,menengah,Pasangan 'berani' dan 'kecut' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'berani' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'kecut' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
164,pemberani,penakut,gradabel/kontekstual,umum,menengah,Pasangan 'pemberani' dan 'penakut' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'pemberani' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'penakut' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
165,setia,ingkar,gradabel/kontekstual,umum,menengah,Pasangan 'setia' dan 'ingkar' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'setia' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'ingkar' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
166,jujur,curang,gradabel/kontekstual,umum,menengah,Pasangan 'jujur' dan 'curang' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'jujur' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'curang' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
167,adil,zalim,gradabel/kontekstual,hukum,menengah,Pasangan 'adil' dan 'zalim' memiliki hubungan pertentangan makna dalam konteks hukum.,Contoh: penggunaan kata 'adil' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'zalim' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
168,benar,keliru,gradabel/kontekstual,umum,menengah,Pasangan 'benar' dan 'keliru' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'benar' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'keliru' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
169,tepat,meleset,gradabel/kontekstual,umum,menengah,Pasangan 'tepat' dan 'meleset' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'tepat' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'meleset' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
170,cepat,lelet,gradabel/kontekstual,umum,menengah,Pasangan 'cepat' dan 'lelet' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'cepat' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'lelet' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
171,gesit,lambat,gradabel/kontekstual,umum,menengah,Pasangan 'gesit' dan 'lambat' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'gesit' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'lambat' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
172,lincah,kaku,gradabel/kontekstual,umum,menengah,Pasangan 'lincah' dan 'kaku' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'lincah' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'kaku' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
173,luwes,canggung,gradabel/kontekstual,umum,menengah,Pasangan 'luwes' dan 'canggung' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'luwes' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'canggung' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
174,ramah,angkuh,gradabel/kontekstual,umum,menengah,Pasangan 'ramah' dan 'angkuh' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'ramah' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'angkuh' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
175,sopan,biadab,gradabel/kontekstual,umum,menengah,Pasangan 'sopan' dan 'biadab' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'sopan' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'biadab' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
176,taat,melawan,gradabel/kontekstual,umum,menengah,Pasangan 'taat' dan 'melawan' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'taat' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'melawan' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
177,patuh,ingkar,gradabel/kontekstual,umum,menengah,Pasangan 'patuh' dan 'ingkar' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'patuh' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'ingkar' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
178,tertib,kacau,gradabel/kontekstual,umum,menengah,Pasangan 'tertib' dan 'kacau' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'tertib' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'kacau' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
179,bersih,dekil,gradabel/kontekstual,umum,menengah,Pasangan 'bersih' dan 'dekil' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'bersih' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'dekil' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
180,wangi,apek,gradabel/kontekstual,umum,menengah,Pasangan 'wangi' dan 'apek' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'wangi' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'apek' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
181,segar,layu,gradabel/kontekstual,umum,menengah,Pasangan 'segar' dan 'layu' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'segar' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'layu' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
182,mekar,kuncup,gradabel/kontekstual,umum,menengah,Pasangan 'mekar' dan 'kuncup' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'mekar' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'kuncup' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
183,tumbuh,mati,komplementer,umum,tinggi,Pasangan 'tumbuh' dan 'mati' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'tumbuh' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'mati' disesuaikan dengan konteks kalimat.,Hubungan pertentangan makna relatif langsung.
184,bangun,roboh,gradabel/kontekstual,umum,menengah,Pasangan 'bangun' dan 'roboh' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'bangun' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'roboh' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
185,datar,curam,gradabel/kontekstual,umum,menengah,Pasangan 'datar' dan 'curam' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'datar' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'curam' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
186,landai,terjal,gradabel/kontekstual,umum,menengah,Pasangan 'landai' dan 'terjal' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'landai' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'terjal' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
187,dalam,dangkal,gradabel/kontekstual,umum,menengah,Pasangan 'dalam' dan 'dangkal' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'dalam' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'dangkal' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
188,besar,mungil,gradabel/kontekstual,umum,menengah,Pasangan 'besar' dan 'mungil' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'besar' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'mungil' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
189,raksasa,kerdil,gradabel/kontekstual,umum,menengah,Pasangan 'raksasa' dan 'kerdil' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'raksasa' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'kerdil' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
190,gemuk,kerempeng,gradabel/kontekstual,umum,menengah,Pasangan 'gemuk' dan 'kerempeng' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'gemuk' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'kerempeng' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
191,kuat,lunglai,gradabel/kontekstual,umum,menengah,Pasangan 'kuat' dan 'lunglai' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'kuat' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'lunglai' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
192,berani,gentar,gradabel/kontekstual,umum,menengah,Pasangan 'berani' dan 'gentar' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'berani' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'gentar' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
193,yakin,bimbang,gradabel/kontekstual,umum,menengah,Pasangan 'yakin' dan 'bimbang' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'yakin' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'bimbang' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
194,tegas,ragu,gradabel/kontekstual,umum,menengah,Pasangan 'tegas' dan 'ragu' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'tegas' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'ragu' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
195,lancar,tersendat,gradabel/kontekstual,umum,menengah,Pasangan 'lancar' dan 'tersendat' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'lancar' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'tersendat' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
196,fasih,gagap,gradabel/kontekstual,umum,menengah,Pasangan 'fasih' dan 'gagap' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'fasih' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'gagap' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
197,jelas,samar,gradabel/kontekstual,umum,menengah,Pasangan 'jelas' dan 'samar' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'jelas' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'samar' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
198,terang,remang,gradabel/kontekstual,umum,menengah,Pasangan 'terang' dan 'remang' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'terang' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'remang' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
199,nyata,gaib,gradabel/kontekstual,umum,menengah,Pasangan 'nyata' dan 'gaib' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'nyata' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'gaib' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
200,tulen,tiruan,gradabel/kontekstual,umum,menengah,Pasangan 'tulen' dan 'tiruan' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'tulen' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'tiruan' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
201,murni,campuran,gradabel/kontekstual,umum,menengah,Pasangan 'murni' dan 'campuran' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'murni' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'campuran' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
202,jernih,keruh,gradabel/kontekstual,umum,menengah,Pasangan 'jernih' dan 'keruh' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'jernih' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'keruh' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
203,bening,butek,gradabel/kontekstual,umum,menengah,Pasangan 'bening' dan 'butek' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'bening' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'butek' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
204,rapat,renggang,gradabel/kontekstual,umum,menengah,Pasangan 'rapat' dan 'renggang' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'rapat' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'renggang' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
205,akrab,asing,gradabel/kontekstual,umum,menengah,Pasangan 'akrab' dan 'asing' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'akrab' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'asing' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
206,sahabat,musuh,gradabel/kontekstual,hukum,menengah,Pasangan 'sahabat' dan 'musuh' memiliki hubungan pertentangan makna dalam konteks hukum.,Contoh: penggunaan kata 'sahabat' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'musuh' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
207,kawan,lawan,gradabel/kontekstual,umum,menengah,Pasangan 'kawan' dan 'lawan' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'kawan' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'lawan' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
208,mitra,kompetitor,gradabel/kontekstual,umum,menengah,Pasangan 'mitra' dan 'kompetitor' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'mitra' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'kompetitor' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
209,positif,negatif,gradabel/kontekstual,umum,menengah,Pasangan 'positif' dan 'negatif' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'positif' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'negatif' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
210,plus,minus,gradabel/kontekstual,umum,menengah,Pasangan 'plus' dan 'minus' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'plus' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'minus' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
211,kredit,debit,relasional,ekonomi,menengah,Pasangan 'kredit' dan 'debit' memiliki hubungan pertentangan makna dalam konteks ekonomi.,Contoh: penggunaan kata 'kredit' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'debit' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
212,penerimaan,pengeluaran,gradabel/kontekstual,ekonomi,menengah,Pasangan 'penerimaan' dan 'pengeluaran' memiliki hubungan pertentangan makna dalam konteks ekonomi.,Contoh: penggunaan kata 'penerimaan' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'pengeluaran' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
213,lokal,internasional,gradabel/kontekstual,umum,menengah,Pasangan 'lokal' dan 'internasional' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'lokal' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'internasional' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
